company_name,company_label_name,company_search_keyword,without_location_filter,company_category
nodes,nodes,nodes,0,1
Abtion,abtion,abtion,0,1
heyday ,heyday,heyday,0,1
Trifork ,trifork,trifork,0,1
frontIt ,frontit,frontit,1,1
holion ,holion,holion,0,1
kruso ,kruso,kruso,0,1
pandiweb,pandiweb,pandiweb,0,1
Uptime ,uptime,uptime,0,1
Charlie Tango ,charlie tango,charlie tango,0,1
FFW,ffw,ffw,0,1
Apptown/mysupport ,mysupport,mysupport,0,2
shape ,shape,shape,0,1
makeable ,makeable,makeable,0,2
Mustache ,mustache,mustache,0,2
House of Code,house of code,house of code,0,2
Greener Pastures ,greener pastures,greener pastures,1,2
Axla ,axla,axla,0,2
Snapp,snapp,snapp,0,2
Apps Captain ,appscaptain,appscaptain,0,2
Adtomic ,adtomic,adtomic,0,1
Signifly,signifly,signifly,0,1
Creuna,creuna,creuna,0,1
Strømlin ApS,strømlin,strømlin,0,1
MU.ST ,must,must,0,1
Netcompany ,netcompany,netcompany,0,1
Systematic,systematic,systematic,0,1
Capgemini,capgemini,capgemini,0,1
Sas Institute,sas institute,sas institute,0,3
eg-as,eg a/s,eg a s,0,1
KMD,kmd,kmd,0,1
Adform ,adform,adform,1,3
Proactivedk,proactivedk,proactivedk,0,1
