company_name,company_label_name,company_search_keyword,without_location_filter,company_category
Knowit,knowit,knowit,0,1
Fellowmind,fellowmind,fellowmind,0,1
Oxygen,oxygen,oxygen,0,1
Saxo Bank,saxo bank,saxo bank,0,4
kabellmunk,kabellmunk,kabellmunk,0,2
DGI-IT ,dgi-it,dgi-it,1,4
Ørsted/orsted,ørsted,ørsted,0,4
Nuuday ,nuuday,nuuday,0,4
YouSee,yousee,yousee,0,4
Relatel,relatel,relatel,0,4
Copenhagen apps,cphapp,cphapp,0,2
Commentor,commentor,commentor,0,2
Nabto,nabto,nabto,0,3
Jobindex,jobindex,jobindex,1,4
Miracle,miracle,miracle,0,2
Immeo,immeo,immeo,0,1
Siteimprove,siteimprove,siteimprove,0,3
cBrain-dk,cbrain,cbrain,0,1
Deon Digital ,deon digital,deondigital,1,3
PWC ,pwc,pwc,0,4
Studies&me,studiesandme,studiesandme,1,4
TV2 Danmark,tv2,tv2,0,4
Pentia,pentia,pentia,0,1
ZervMe,zervme,zervme,0,4
Ministry of Taxation,skat,skat,0,4
Codefort,codefort,codefort,0,1
Reepay,reepay,reepay,0,3
Diviso,diviso,diviso,0,1
Uni-Soft,uni-soft,uni-soft,1,4
Delegate A/S,delegateas,delegateas,0,1
Monstarlab,monstarlab,monstarlab,0,1
